YEAR,IRSEX,CATAG7,INCOME,EDUCCAT2,Nervous_99,Nervous_1,Nervous_2,Nervous_3,Nervous_4,Nervous_5,Nervous_94,Nervous_97,Nervous_85,Nervous_98,Nervous_89,Nervous_skip,Nervous_any,Nervous_no,Nervous_others,num_people,Hopeless_99,Hopeless_1,Hopeless_2,Hopeless_3,Hopeless_4,Hopeless_5,Hopeless_94,Hopeless_97,Hopeless_85,Hopeless_98,Hopeless_89,Hopeless_skip,Hopeless_any,Hopeless_no,Hopeless_others,Restless_99,Restless_1,Restless_2,Restless_3,Restless_4,Restless_5,Restless_94,Restless_97,Restless_85,Restless_98,Restless_89,Restless_skip,Restless_any,Restless_no,Restless_others
2002,1,7,4,4,NA,3,45,166,395,335,1,1,NA,1,NA,NA,609,335,3,947,NA,2,11,51,149,728,3,2,NA,1,NA,NA,213,728,6,NA,3,18,117,328,475,3,2,NA,1,NA,NA,466,475,6
2002,2,1,1,5,586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,586,NA,NA,NA,586,586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,586,NA,NA,NA,586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,586,NA,NA,NA
2002,2,1,2,5,1130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1130,NA,NA,NA,1130,1130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1130,NA,NA,NA,1130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1130,NA,NA,NA
2002,2,1,3,5,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,611,NA,NA,NA,611,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,611,NA,NA,NA,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,611,NA,NA,NA
2002,2,1,4,5,681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,681,NA,NA,NA,681,681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,681,NA,NA,NA,681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,681,NA,NA,NA
2002,2,2,1,5,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508,NA,NA,NA,508,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508,NA,NA,NA,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508,NA,NA,NA
2002,2,2,2,5,1137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1137,NA,NA,NA,1137,1137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1137,NA,NA,NA,1137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1137,NA,NA,NA
2002,2,2,3,5,612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,612,NA,NA,NA,612,612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,612,NA,NA,NA,612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,612,NA,NA,NA
2002,2,2,4,5,696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,696,NA,NA,NA,696,696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,696,NA,NA,NA,696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,696,NA,NA,NA
2002,2,3,1,5,488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,488,NA,NA,NA,488,488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,488,NA,NA,NA,488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,488,NA,NA,NA
2002,2,3,2,5,989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,989,NA,NA,NA,989,989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,989,NA,NA,NA,989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,989,NA,NA,NA
2002,2,3,3,5,545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545,NA,NA,NA,545,545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545,NA,NA,NA,545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545,NA,NA,NA
2002,2,3,4,5,695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,695,NA,NA,NA,695,695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,695,NA,NA,NA,695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,695,NA,NA,NA
2002,2,4,1,1,NA,15,47,61,95,104,1,1,NA,NA,NA,NA,218,104,2,324,NA,23,38,45,74,143,NA,1,NA,NA,NA,NA,180,143,1,NA,13,33,53,79,144,1,1,NA,NA,NA,NA,178,144,2
2002,2,4,1,2,NA,17,59,137,211,145,5,1,1,NA,NA,NA,424,145,7,576,NA,24,55,84,146,263,3,NA,1,NA,NA,NA,309,263,4,NA,23,47,117,177,207,3,1,1,NA,NA,NA,364,207,5
2002,2,4,1,3,NA,14,50,135,219,109,NA,NA,NA,NA,NA,NA,418,109,NA,527,NA,19,48,101,125,234,NA,NA,NA,NA,NA,NA,293,234,NA,NA,15,58,119,177,158,NA,NA,NA,NA,NA,NA,369,158,NA
2002,2,4,1,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA
2002,2,4,2,1,NA,12,35,58,142,103,4,NA,NA,NA,NA,NA,247,103,4,354,NA,21,37,38,82,172,4,NA,NA,NA,NA,NA,178,172,4,NA,12,23,56,104,156,3,NA,NA,NA,NA,NA,195,156,3
2002,2,4,2,2,NA,13,52,114,212,133,2,1,NA,NA,NA,NA,391,133,3,527,NA,33,45,81,119,247,NA,2,NA,NA,NA,NA,278,247,2,NA,14,43,98,148,220,3,1,NA,NA,NA,NA,303,220,4
2002,2,4,2,3,NA,2,34,77,131,70,2,1,NA,NA,NA,NA,244,70,3,317,NA,8,33,45,78,151,2,NA,NA,NA,NA,NA,164,151,2,NA,7,31,57,103,117,2,NA,NA,NA,NA,NA,198,117,2
2002,2,4,3,1,NA,2,15,35,39,16,NA,NA,NA,NA,NA,NA,91,16,NA,107,NA,3,17,24,20,41,2,NA,NA,NA,NA,NA,64,41,2,NA,5,12,25,33,32,NA,NA,NA,NA,NA,NA,75,32,NA
2002,2,4,3,2,NA,2,23,38,69,40,1,1,NA,NA,NA,NA,132,40,2,174,NA,4,13,34,41,80,1,1,NA,NA,NA,NA,92,80,2,NA,3,18,36,48,67,1,1,NA,NA,NA,NA,105,67,2
2002,2,4,3,3,NA,2,16,49,63,32,NA,NA,1,NA,NA,NA,130,32,1,163,NA,6,13,28,54,61,NA,NA,1,NA,NA,NA,101,61,1,NA,2,17,35,61,47,NA,NA,1,NA,NA,NA,115,47,1
2002,2,4,4,1,NA,1,6,26,39,26,1,NA,NA,NA,NA,NA,72,26,1,99,NA,3,12,16,21,46,NA,1,NA,NA,NA,NA,52,46,1,NA,2,7,21,29,38,1,1,NA,NA,NA,NA,59,38,2
2002,2,4,4,2,NA,9,19,38,78,41,NA,NA,NA,NA,NA,NA,144,41,NA,185,NA,13,19,22,46,83,2,NA,NA,NA,NA,NA,100,83,2,NA,8,17,35,65,58,2,NA,NA,NA,NA,NA,125,58,2
2002,2,4,4,3,NA,3,21,51,81,34,2,NA,NA,NA,NA,NA,156,34,2,192,NA,11,16,35,41,88,1,NA,NA,NA,NA,NA,103,88,1,NA,9,17,40,61,64,1,NA,NA,NA,NA,NA,127,64,1
2002,2,4,4,4,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2002,2,5,1,1,NA,27,62,64,112,156,8,1,NA,NA,NA,NA,265,156,9,430,NA,33,55,54,68,211,7,2,NA,NA,NA,NA,210,211,9,NA,33,48,64,87,190,5,3,NA,NA,NA,NA,232,190,8
