Year,Column,Num_NA,Count_1,Unique_Values
2013,MDELOSIN,0,0,-9
2013,MNCHYPER,0,0,-9
2013,PHBCRWDS,0,0,-9
2013,PHBPUBPL,0,0,-9
2013,PHBTRAVL,0,0,-9
2013,PHBAWYHM,0,0,-9
2013,PTSEVER,0,0,-9
2013,MHHOSPOV,0,0,-9
2013,MHMEDS,0,0,-9
2013,MHOPNUM2,0,0,-9
2013,PANATKN2,0,0,-9
2013,MDEDPWKR,0,0,-9
2013,MDELIWK2,0,0,-9
2013,GADWKS2,0,0,-9
2013,PTSWKS2,0,0,-9
2013,MHMEDWK2,0,0,-9
2013,IMPWKS2,0,0,-9
2014,PANATAK,0,0,-9
2014,MDEDP2WK,0,0,-9
2014,MDELOSIN,0,0,-9
2014,MNCHYPER,0,0,-9
2014,PHBCRWDS,0,0,-9
2014,PHBPUBPL,0,0,-9
2014,PHBTRAVL,0,0,-9
2014,PHBAWYHM,0,0,-9
2014,PTSEVER,0,0,-9
2014,MHHOSPOV,0,0,-9
2014,MHMEDS,0,0,-9
2014,MHOPNUM2,0,0,-9
2014,PANATKN2,0,0,-9
2014,MDEDPWKR,0,0,-9
2014,MDELIWK2,0,0,-9
2014,GADWKS2,0,0,-9
2014,PTSWKS2,0,0,-9
2014,MHMEDWK2,0,0,-9
2014,IMPWKS2,0,0,-9
2015,PANATAK,0,0,-9
2015,MDEDP2WK,0,0,-9
2015,MDELOSIN,0,0,-9
2015,MNCHYPER,0,0,-9
2015,PHBCRWDS,0,0,-9
2015,PHBPUBPL,0,0,-9
2015,PHBTRAVL,0,0,-9
2015,PHBAWYHM,0,0,-9
2015,PTSEVER,0,0,-9
2015,MHHOSPOV,0,0,-9
2015,MHMEDS,0,0,-9
2015,MHOPNUM2,0,0,-9
2015,PANATKN2,0,0,-9
2015,MDEDPWKR,0,0,-9
2015,MDELIWK2,0,0,-9
2015,GADWKS2,0,0,-9
2015,PTSWKS2,0,0,-9
2015,MHMEDWK2,0,0,-9
2015,IMPWKS2,0,0,-9
2016,PANATAK,0,0,-9
2016,MDEDP2WK,0,0,-9
2016,MDELOSIN,0,0,-9
2016,MNCHYPER,0,0,-9
2016,PHBCRWDS,0,0,-9
2016,PHBPUBPL,0,0,-9
2016,PHBTRAVL,0,0,-9
2016,PHBAWYHM,0,0,-9
2016,PTSEVER,0,0,-9
2016,MHHOSPOV,0,0,-9
2016,MHMEDS,0,0,-9
2016,MHOPNUM2,0,0,-9
2016,PANATKN2,0,0,-9
2016,MDEDPWKR,0,0,-9
2016,MDELIWK2,0,0,-9
2016,GADWKS2,0,0,-9
2016,PTSWKS2,0,0,-9
2016,MHMEDWK2,0,0,-9
2016,IMPWKS2,0,0,-9
2017,PANATAK,0,0,-9
2017,MDEDP2WK,0,0,-9
2017,MDELOSIN,0,0,-9
2017,MNCHYPER,0,0,-9
2017,PHBCRWDS,0,0,-9
2017,PHBPUBPL,0,0,-9
2017,PHBTRAVL,0,0,-9
2017,PHBAWYHM,0,0,-9
2017,PTSEVER,0,0,-9
2017,MHHOSPOV,0,0,-9
2017,MHMEDS,0,0,-9
2017,MHOPNUM2,0,0,-9
2017,PANATKN2,0,0,-9
2017,MDEDPWKR,0,0,-9
2017,MDELIWK2,0,0,-9
2017,GADWKS2,0,0,-9
2017,PTSWKS2,0,0,-9
2017,MHMEDWK2,0,0,-9
2017,IMPWKS2,0,0,-9
2018,PANATAK,0,0,-9
2018,MDEDP2WK,0,0,-9
2018,MDELOSIN,0,0,-9
2018,MNCHYPER,0,0,-9
2018,PHBCRWDS,0,0,-9
2018,PHBPUBPL,0,0,-9
2018,PHBTRAVL,0,0,-9
2018,PHBAWYHM,0,0,-9
2018,PTSEVER,0,0,-9
2018,MHHOSPOV,0,0,-9
2018,MHMEDS,0,0,-9
2018,MHOPNUM2,0,0,-9
2018,PANATKN2,0,0,-9
2018,MDEDPWKR,0,0,-9
2018,MDELIWK2,0,0,-9
2018,GADWKS2,0,0,-9
2018,PTSWKS2,0,0,-9
2018,MHMEDWK2,0,0,-9
2018,IMPWKS2,0,0,-9
2019,PANATAK,0,0,-9
2019,MDEDP2WK,0,0,-9
2019,MDELOSIN,0,0,-9
2019,MNCHYPER,0,0,-9
2019,PHBCRWDS,0,0,-9
2019,PHBPUBPL,0,0,-9
2019,PHBTRAVL,0,0,-9
2019,PHBAWYHM,0,0,-9
2019,PTSEVER,0,0,-9
2019,MHHOSPOV,0,0,-9
2019,MHMEDS,0,0,-9
2019,MHOPNUM2,0,0,-9
2019,PANATKN2,0,0,-9
2019,MDEDPWKR,0,0,-9
2019,MDELIWK2,0,0,-9
2019,GADWKS2,0,0,-9
2019,PTSWKS2,0,0,-9
2019,MHMEDWK2,0,0,-9
2019,IMPWKS2,0,0,-9
