"hryear4","prtage","hufaminc","pesex","avg_net_use","n"
2007,NA,5,1,56.5333333333333,375
2007,NA,5,2,56.9364161849711,346
2007,NA,5,NA,0,68
2007,NA,6,1,62.9757785467128,578
2007,NA,6,2,58,600
2007,NA,6,NA,0,118
2007,NA,7,1,65.7789613848202,751
2007,NA,7,2,65.0837988826816,716
2007,NA,7,NA,0,121
2007,NA,8,1,71.1843711843712,819
2007,NA,8,2,70.0662251655629,755
2007,NA,8,NA,0,122
2007,NA,9,1,80,860
2007,NA,9,2,78.2330345710627,781
2007,NA,9,NA,0,129
2007,NA,10,1,80.5592543275633,751
2007,NA,10,2,81.1320754716981,742
2007,NA,10,NA,0,124
2007,NA,11,1,87.1369294605809,1205
2007,NA,11,2,86.2521891418564,1142
2007,NA,11,NA,0,171
2007,NA,12,1,89.6204492641363,1291
2007,NA,12,2,90.6957928802589,1236
2007,NA,12,NA,0,172
2007,NA,13,1,94.0846824408468,1606
2007,NA,13,2,95.7587806494367,1509
2007,NA,13,NA,0,146
2007,NA,14,1,97.8177850518276,1833
2007,NA,14,2,96.9308035714286,1792
2007,NA,14,NA,0,148
2007,NA,15,1,98.5259433962264,1696
2007,NA,15,2,97.4059662775616,1542
2007,NA,15,NA,0,154
2007,NA,16,1,98.1834695731153,1101
2007,NA,16,2,98.294434470377,1114
2007,NA,16,NA,0,118
2007,NA,NA,1,59.4594594594595,37
2007,NA,NA,2,66.6666666666667,24
2007,NA,NA,NA,0,14672
2009,4,-3,1,85.7142857142857,357
2009,4,-3,2,83.1908831908832,351
2009,4,-2,1,79.5620437956204,137
2009,4,-2,2,79.8165137614679,109
2009,4,1,1,86.046511627907,86
2009,4,1,2,77.5700934579439,107
2009,4,2,1,79.3103448275862,58
2009,4,2,2,81.8181818181818,66
2009,4,3,1,76.7857142857143,56
2009,4,3,2,76.7857142857143,56
2009,4,4,1,80.8823529411765,68
2009,4,4,2,73.015873015873,63
2009,4,5,1,69.6428571428571,56
2009,4,5,2,78.1818181818182,55
2009,4,6,1,77.9816513761468,109
2009,4,6,2,75.2688172043011,93
2009,4,7,1,79.2452830188679,106
2009,4,7,2,81.7518248175183,137
2009,4,8,1,77.5,120
2009,4,8,2,86.9918699186992,123
2009,4,9,1,81.8181818181818,154
2009,4,9,2,88.785046728972,107
2009,4,10,1,83.0508474576271,118
2009,4,10,2,82.9787234042553,94
2009,4,11,1,89.5833333333333,192
2009,4,11,2,91.025641025641,156
2009,4,12,1,91.4473684210526,152
2009,4,12,2,98.0132450331126,151
2009,4,13,1,94.5205479452055,219
2009,4,13,2,97.5247524752475,202
2009,4,14,1,98.2142857142857,224
2009,4,14,2,97.3333333333333,225
2009,4,15,1,99.163179916318,239
2009,4,15,2,99.1304347826087,230
2009,4,16,1,100,173
2009,4,16,2,99.3865030674847,163
2009,4,NA,1,77.7777777777778,9
2009,4,NA,2,87.5,8
2009,5,-3,1,80.8061420345489,521
2009,5,-3,2,82.4,500
2009,5,-2,1,80.0925925925926,216
2009,5,-2,2,81.8713450292398,171
2009,5,1,1,83.2298136645963,161
